架次编号,服务区,中断占比,悬停经度,悬停纬度,悬停海拔m,离地m,保障能耗kWh,服务窗口起,服务窗口止,说明
T007,S005,0.23,109.227091,23.006658,444.7,250.0,0.3818,3917.4,5072.0,单点全程覆盖
T008,S011->S009,0.2899,109.227091,23.006658,444.7,250.0,0.4834,3987.0,5474.1,单点全程覆盖
T009,S011->S015,0.2655,109.219286,23.006658,460.5,250.0,0.5665,5432.0,7075.5,单点全程覆盖
T010,S001->S014,0.2794,109.266119,23.006658,519.6,250.0,0.6953,5834.1,7683.3,单点全程覆盖
T011,S005->S015,0.3138,109.195869,23.021105,739.9,250.0,0.713,7435.5,9321.5,单点全程覆盖
T012,S005->S009,0.4394,109.227091,23.006658,444.7,250.0,0.5123,8043.3,9625.0,单点全程覆盖
T013,S004->S008,0.4454,109.234897,23.064448,532.0,250.0,0.7888,9681.5,11651.4,单点全程覆盖
T014,S005->S003,0.4393,109.195869,23.021105,739.9,250.0,0.8095,9985.0,12187.1,单点全程覆盖
T015,S007->S002,0.4135,109.219286,23.035553,494.8,250.0,0.7687,12011.4,14136.2,单点全程覆盖
T016,S001->S008,0.3616,109.203674,23.042777,780.6,250.0,0.7089,12547.1,14356.2,单点全程覆盖
T017,S006->S003,0.3917,109.203674,23.021105,614.0,250.0,0.7173,14496.2,16455.2,单点全程覆盖
T018,S004,0.2491,109.242702,23.057224,548.6,250.0,0.6488,14716.2,16278.3,单点全程覆盖
T019,S003,0.4247,109.21148,23.021105,510.7,250.0,0.6061,16638.3,18286.7,单点全程覆盖
T020,S001->S002,0.4195,109.219286,23.035553,494.8,250.0,0.6109,16815.2,18423.4,单点全程覆盖
T021,S002,0.4534,109.219286,23.035553,494.8,250.0,0.5454,18646.7,20040.6,单点全程覆盖
T022,S004->S008,0.4454,109.234897,23.064448,532.0,250.0,0.8071,18813.4,20813.3,单点全程覆盖
T023,S003,0.4247,109.21148,23.021105,510.7,250.0,0.6244,20606.8,22285.2,单点全程覆盖
T024,S001->S002,0.4195,109.219286,23.035553,494.8,250.0,0.6109,21173.3,22781.4,单点全程覆盖
T025,S001->S002,0.4195,109.219286,23.035553,494.8,250.0,0.6292,22675.2,24313.3,单点全程覆盖
T026,S007,0.2105,109.21148,23.028329,555.2,250.0,0.4823,23187.2,24389.6,单点全程覆盖
T027,S010->S007,0.244,109.219286,23.035553,494.8,250.0,1.3816,24673.3,26627.0,需 2 架中继分段覆盖
T028,S013->S012->S002,0.592,109.273925,23.035553,568.3,250.0,0.8393,24887.0,27054.3,单点全程覆盖
T029,S005->S004,0.3914,109.242702,23.057224,548.6,250.0,0.7196,26987.0,28780.8,单点全程覆盖
T030,S007->S003->S015,0.4896,109.195869,23.021105,739.9,250.0,0.7856,27444.3,29537.9,单点全程覆盖
T031,S010,0.2103,109.242702,23.006658,504.3,250.0,0.4138,29140.8,30271.8,单点全程覆盖
T032,S014,0.3152,109.266119,23.006658,519.6,250.0,0.5706,29897.9,31339.0,单点全程覆盖
T033,S013->S012,0.481,109.266119,23.021105,559.5,250.0,0.6617,30938.7,32662.0,单点全程覆盖
T034,S011->S008,0.3201,109.203674,23.042777,780.6,250.0,0.7175,31843.8,33651.2,单点全程覆盖
T035,S002->S012->S013,0.5891,109.273925,23.035553,568.3,250.0,0.8393,33052.0,35219.3,单点全程覆盖
